"id","artisanKey","primaryCraftId","studioName","personalName","craftSpecialization","location","state","yearsOfPractice","bio","profilePhotoUrl","coverPhotoUrl","publicContact","languages","experienceInfo","createdAt","updatedAt","lat","lng"
1,"govind-ram-jhara-2009","","Dhokra Casting by Govind Ram Jhara","Govind Ram Jhara","Bell Metal Dhokra Casting","Chhattisgarh","Chhattisgarh",0,"Recipient of the Shilp Guru award (2009), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Bell Metal Dhokra Casting.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/7/74/Dhokra_%28Man%29.jpg","","","Recipient of the Shilp Guru award, 2009. Years of practice not publicly documented.","2026-08-26 18:57:56","2026-09-06 17:48:32","21.278700","81.866100"
2,"mohammad-ayyub-2009","","Wood Block Making by Mohammad Ayyub","Mohammad Ayyub","Wood Carving Block Making","Delhi","Delhi",0,"Recipient of the Shilp Guru award (2009), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Wood Carving Block Making.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/c/c1/Master_artist_carves_a_woodblock_for_textile_printing.jpg","","","Recipient of the Shilp Guru award, 2009. Years of practice not publicly documented.","2026-08-26 18:57:58","2026-09-06 17:48:33","28.704100","77.102500"
3,"rohit-kantilal-salvi-2009","","Patan Patola by Rohit Kantilal Salvi","Rohit Kantilal Salvi","Patan Patola Double Ikat","Gujarat","Gujarat",0,"Recipient of the Shilp Guru award (2009), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Patan Patola Double Ikat weaving.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/e/e1/Antique_Patan_Patola_Double_Ikat_Trade_Textile_courtesy_Wovensouls_Collection%2C_Singapore.jpg","","","Recipient of the Shilp Guru award, 2009. Years of practice not publicly documented.","2026-08-26 18:58:00","2026-09-06 17:48:33","22.258700","71.192400"
4,"manubhai-chunilal-chitara-2009","","Matani Pachedi by Manubhai Chunilal Chitara","Manubhai Chunilal Chitara","Kalamkari Matani Pachedi","Gujarat","Gujarat",0,"Recipient of the Shilp Guru award (2009), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Kalamkari Matani Pachedi.","/placeholder-artisan.jpg","/placeholder-cover.jpg","","","Recipient of the Shilp Guru award, 2009. Years of practice not publicly documented.","2026-08-26 18:58:01","2026-09-06 17:48:34","22.258700","71.192400"
5,"omkar-dhawan-2010","","Bone & Wood Inlay by Omkar Dhawan","Omkar Dhawan","Inlay Work on Bone / Wood","Delhi","Delhi",0,"Recipient of the Shilp Guru award (2010), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Inlay Work on Bone and Wood.","/placeholder-artisan.jpg","/placeholder-cover.jpg","","","Recipient of the Shilp Guru award, 2010. Years of practice not publicly documented.","2026-08-26 18:58:01","2026-09-06 17:48:35","28.704100","77.102500"
6,"budhi-ram-prajapati-2010","","Terracotta by Budhi Ram Prajapati","Budhi Ram Prajapati","Terracotta","Haryana","Haryana",0,"Recipient of the Shilp Guru award (2010), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Terracotta craft.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/0/05/Bankura_Horses_Arnab_Dutta_2011.JPG","","","Recipient of the Shilp Guru award, 2010. Years of practice not publicly documented.","2026-08-26 18:58:02","2026-09-06 17:48:35","29.058800","76.085600"
7,"ghulam-rasool-khan-2010","","Sozni Embroidery by Ghulam Rasool Khan","Ghulam Rasool Khan","Sozni Embroidery","Jammu & Kashmir","Jammu & Kashmir",0,"Recipient of the Shilp Guru award (2010), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Sozni Embroidery.","/placeholder-artisan.jpg","/placeholder-cover.jpg","","","Recipient of the Shilp Guru award, 2010. Years of practice not publicly documented.","2026-08-26 18:58:02","2026-09-06 17:48:36","33.778200","76.576200"
8,"tsering-wangdus-2010","","Thanka Painting by Tsering Wangdus","Tsering Wangdus","Scroll / Thanka Painting","Leh","Ladakh",0,"Recipient of the Shilp Guru award (2010), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Scroll / Thanka Painting.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/c/cc/Painting_Thangka_Lhasa_Tibet_Luca_Galuzzi_2006.jpg","","","Recipient of the Shilp Guru award, 2010. Years of practice not publicly documented.","2026-08-26 18:58:03","2026-09-06 17:48:36","34.152600","77.577100"
9,"har-kishan-2012","","Terracotta by Har Kishan","Har Kishan","Terracotta","Delhi","Delhi",0,"Recipient of the Shilp Guru award (2012), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Terracotta craft.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/0/05/Bankura_Horses_Arnab_Dutta_2011.JPG","","","Recipient of the Shilp Guru award, 2012. Years of practice not publicly documented.","2026-08-26 18:58:03","2026-09-06 17:48:37","28.704100","77.102500"
10,"kailash-soni-2012","","Meenakari by Kailash Soni","Kailash Soni","Enamelling on Gold & Silver Jewellery","Rajasthan","Rajasthan",0,"Recipient of the Shilp Guru award (2012), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Enamelling on Gold and Silver Jewellery.","/placeholder-artisan.jpg","/placeholder-cover.jpg","","","Recipient of the Shilp Guru award, 2012. Years of practice not publicly documented.","2026-08-26 18:58:04","2026-09-06 17:48:38","27.023800","74.217900"
