name,category,state,district,description,lat,lng,image_url,tag,ai_description
<<<<<<< HEAD
Etikoppaka Toys,Handicraft,Andhra Pradesh,Anakapalli,"Geographical Indication (GI) registered traditional handicraft of Andhra Pradesh, officially recognised under India's GI Registry (ipindia.gov.in).",17.583300,82.750000,https://upload.wikimedia.org/wikipedia/commons/1/1f/Banana_fields_at_Etikoppaka_Varaha_river_Visakhapatnam.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,GI,"Discover the enchanting world of Etikoppaka Toys, a cherished traditional handicraft from the Anakapalli region of Andhra Pradesh. Officially recognized with a Geographical Indication (GI) registration, this unique craft represents the authentic heritage and artistic legacy of the local community. We invite you to explore these special treasures and connect with a genuine piece of Andhra Pradesh's rich cultural history."
Channapatna Toys And Dolls,Handicraft,Karnataka,Ramanagara,"Geographical Indication (GI) registered traditional handicraft of Karnataka, officially recognised under India's GI Registry (ipindia.gov.in).",12.651400,77.206500,https://upload.wikimedia.org/wikipedia/commons/b/ba/Wooden_toys.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,GI,"Welcome to Ramanagara, Karnataka, the proud home of the cherished Channapatna Toys and Dolls. This traditional handicraft is so unique to its region that it is officially registered as a protected Geographical Indication of Karnataka. Take a moment to explore these wonderful creations and discover a certified piece of local heritage that will bring a smile to your travels."
Orissa Pattachitra,Handicraft,Odisha,Puri,"Geographical Indication (GI) registered traditional handicraft of Odisha, officially recognised under India's GI Registry (ipindia.gov.in).",20.296100,85.824500,https://upload.wikimedia.org/wikipedia/commons/7/7d/Odisha_Pattachitara_Depicting_Unconditional_Love_between_Radha_Krushna.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,GI,"Discover the vibrant heritage of Puri, Odisha, through the captivating artistry of Orissa Pattachitra. This cherished traditional handicraft holds a prestigious Geographical Indication (GI) registration, celebrating its authentic local roots and exceptional cultural value. Let this officially recognized masterpiece invite you into a timeless world of Indian craftsmanship during your travels."
Lucknow Chikan Craft,Handicraft,Uttar Pradesh,Lucknow,"Geographical Indication (GI) registered traditional handicraft of Uttar Pradesh, officially recognised under India's GI Registry (ipindia.gov.in).",26.846700,80.946200,https://upload.wikimedia.org/wikipedia/commons/0/06/Craft_Artisans_of_India_02.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,GI,"Discover the timeless artistry of the Lucknow Chikan Craft, a cherished traditional handicraft of Uttar Pradesh. Officially recognized under India's Geographical Indication Registry, this unique craft represents the authentic heritage and soul of the region. We invite you to experience this celebrated local tradition firsthand and bring home a genuine piece of Lucknow's living history."
Mainpuri Tarkashi,Handicraft,Uttar Pradesh,Mainpuri,"Geographical Indication (GI) registered traditional handicraft of Uttar Pradesh, officially recognised under India's GI Registry (ipindia.gov.in).",27.233300,79.016700,https://handicrafts.nic.in/crafts/All_Crafts/Craft_Categories/Metal/Other_Metal/Mainpuri_Tarkashi/Image_Gallery/MaiTar_I01.png,GI,"Discover the timeless elegance of Mainpuri Tarkashi, a treasured traditional handicraft born in the heart of Mainpuri, Uttar Pradesh. Officially recognized as a Geographical Indication (GI) craft, this exquisite art form represents a unique and protected piece of India's rich cultural heritage. Let yourself be captivated by this local masterpiece and experience the authentic artistry that makes Uttar Pradesh so special."
Thanjavur Art Plate,Handicraft,Tamil Nadu,Thanjavur,"Geographical Indication (GI) registered traditional handicraft of Tamil Nadu, officially recognised under India's GI Registry (ipindia.gov.in).",10.787000,79.137800,https://upload.wikimedia.org/wikipedia/commons/e/ec/Tanjore_Plate_V1.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,GI,"Discover the timeless elegance of the Thanjavur Art Plate, a treasured traditional handicraft deeply rooted in the heritage of Thanjavur, Tamil Nadu. As an officially registered Geographical Indication (GI) craft, each stunning piece represents the authentic artistry and soul of this historic region. Bring home a magnificent token of your travels that beautifully captures the cultural essence of South India."
Kondapalli Bommalu,Handicraft,Andhra Pradesh,NTR (Vijaywada),"Geographical Indication (GI) registered traditional handicraft of Andhra Pradesh, officially recognised under India's GI Registry (ipindia.gov.in).",16.616700,80.533300,https://upload.wikimedia.org/wikipedia/commons/e/e8/Kondapalli_killa_18.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,GI,"Discover the charm of Kondapalli Bommalu, a treasured traditional handicraft from the NTR district of Vijayawada, Andhra Pradesh. Officially recognized under India's GI Registry, this unique Geographical Indication craft represents the authentic heritage and artistry of the region. Bring home a piece of this local legacy as a beautiful keepsake from your journey through Andhra Pradesh."
Nicobari Canoe - Hodi Craft of Andaman & Nicobar,Handicraft,Andaman and Nicobar Islands,,"Geographical Indication (GI) registered traditional handicraft of Andaman and Nicobar Islands, officially recognised under India's GI Registry (ipindia.gov.in).",11.623400,92.726500,https://www.drishtiias.com/images/uploads/1669022348_Nicobari_hodi_Drishti_IAS_English.png,GI,"Discover the vibrant heritage of the Andaman and Nicobar Islands through the legendary Hodi, a traditional Nicobari canoe. This exceptional handicraft is officially recognized with a Geographical Indication tag, honoring the unique artistry and cultural history of the islands. Let this iconic craft connect you to the authentic spirit of your island getaway."
Nicobari Mat (Chatrai / Hileuoi) of Andaman & Nicobar,Handicraft,Andaman and Nicobar Islands,,"Geographical Indication (GI) registered traditional handicraft of Andaman and Nicobar Islands, officially recognised under India's GI Registry (ipindia.gov.in).",11.623400,92.726500,https://www.myindianproducts.com/images/gi_products/nicobari_mats_nicobar_islands.jpg,GI,"Discover the rich cultural heritage of the Andaman and Nicobar Islands through the exquisite Nicobari Mat, known locally as Chatrai or Hileuoi. This cherished traditional handicraft is officially recognized with a prestigious Geographical Indication (GI) tag, celebrating its deep roots in the region's history. It is the perfect authentic keepsake to connect you to the artistic soul of these beautiful tropical islands."
